App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
CW Nuclear,BOOKS_AND_REFERENCE,3.3,15,12M,"1,000+",Free,0.0,Everyone,Books & Reference,2017-11-17 00:00:00,1.2,4.0 and up
Pocket RxTx Free,PRODUCTIVITY,4.1,4513,Varies with device,"100,000+",Free,0.0,Everyone,Productivity,2018-03-04 00:00:00,Varies with device,Varies with device
CW Deposit,BUSINESS,3.0,4,498k,"1,000+",Free,0.0,Everyone,Business,2014-02-06 00:00:00,2.1.5,2.1 and up
Hallmark Channel Everywhere,FAMILY,4.2,6784,13M,"500,000+",Free,0.0,Everyone,Entertainment,2017-08-30 00:00:00,2.3.0,4.4 and up
Morse Player Free,FAMILY,4.2,268,4.2M,"50,000+",Free,0.0,Everyone,Education,2017-01-23 00:00:00,2.1.1,3.0 and up
News 8 San Diego,NEWS_AND_MAGAZINES,4.2,1137,11M,"50,000+",Free,0.0,Everyone,News & Magazines,2018-07-23 00:00:00,5.5.0,4.3 and up
"Hulu: Stream TV, Movies & more",FAMILY,4.0,319777,Varies with device,"10,000,000+",Free,0.0,Teen,Entertainment,2018-08-03 00:00:00,Varies with device,5.0 and up
Learn Morse Code - G0HYN Learn Morse,COMMUNICATION,4.0,27,600k,"5,000+",Free,0.0,Everyone,Communication,2018-05-08 00:00:00,5,2.2 and up
SYFY,FAMILY,3.2,3069,18M,"500,000+",Free,0.0,Teen,Entertainment,2018-05-24 00:00:00,3.3.1.41,4.4 and up
Morse Notifier Free,TOOLS,4.6,79,3.0M,"1,000+",Free,0.0,Everyone,Tools,2017-11-08 00:00:00,2.9.9,4.0.3 and up
AMC,FAMILY,3.2,20843,14M,"1,000,000+",Free,0.0,Teen,Entertainment,2018-08-02 00:00:00,3.3.85 (2),4.4 and up
Cartoon Wars 3,FAMILY,4.1,137674,72M,"5,000,000+",Free,0.0,Teen,Role Playing,2018-07-04 00:00:00,2.0.2,2.3 and up
ABC – Live TV & Full Episodes,FAMILY,3.3,50428,Varies with device,"5,000,000+",Free,0.0,Teen,Entertainment,2018-07-25 00:00:00,Varies with device,5.0 and up
Oracle CX Cloud Mobile,BUSINESS,4.4,48,54M,"5,000+",Free,0.0,Everyone,Business,2018-07-07 00:00:00,11.13.18.05.07.03,4.4 and up
CX-10WiFi,FAMILY,4.0,1419,12M,"100,000+",Free,0.0,Everyone,Casual,2017-10-25 00:00:00,2.5_16,4.0 and up
CX-OF,FAMILY,4.2,18,37M,"1,000+",Free,0.0,Everyone,Entertainment,2018-01-31 00:00:00,7.2.1,4.3 and up
cx-32wifi,FAMILY,4.1,62,6.5M,"10,000+",Free,0.0,Everyone,Entertainment,2015-11-14 00:00:00,1.4,2.2 and up
CX-17WIFI,FAMILY,4.3,49,6.6M,"10,000+",Free,0.0,Everyone,Entertainment,2018-03-21 00:00:00,2.3,4.3 and up
Cathay Pacific,TRAVEL_AND_LOCAL,3.3,4069,50M,"1,000,000+",Free,0.0,Everyone,Travel & Local,2018-07-25 00:00:00,6.6.1,4.3 and up
Cx File Explorer,TOOLS,4.7,175,4.3M,"10,000+",Free,0.0,Everyone,Tools,2018-07-28 00:00:00,1.0.7,5.0 and up
cx-33wifi,FAMILY,4.4,63,7.6M,"10,000+",Free,0.0,Everyone,Entertainment,2015-11-14 00:00:00,1.4,2.2 and up
CX-WiFi720P,FAMILY,3.1,47,5.5M,"10,000+",Free,0.0,Everyone,Entertainment,2015-11-14 00:00:00,2,2.2 and up
CX-60,FAMILY,3.1,19,94M,"1,000+",Free,0.0,Everyone,Casual,2017-05-09 00:00:00,1.6,2.3 and up
ACTIVEON CX & CX GOLD,VIDEO_PLAYERS,3.3,439,35M,"50,000+",Free,0.0,Everyone,Video Players & Editors,2016-03-04 00:00:00,0.7.9,4.0 and up
CX North America,BUSINESS,3.9,10,55M,500+,Free,0.0,Everyone,Business,2018-03-14 00:00:00,1.2,4.0 and up
CX-10DS,FAMILY,3.4,12,11M,"1,000+",Free,0.0,Everyone,Casual,2017-09-15 00:00:00,1.5_6,4.0 and up
CX-37,FAMILY,3.9,13,12M,"1,000+",Free,0.0,Everyone,Casual,2016-05-30 00:00:00,1.3_4,3.0 and up
Avaya CX,BUSINESS,4.4,21,21M,"1,000+",Free,0.0,Everyone,Business,2018-07-25 00:00:00,v6.7.14,5.0 and up
TI-Nspire CX Calculator Manual,FAMILY,3.9,11,27M,500+,Paid,4.99,Everyone,Education,2018-07-21 00:00:00,1.3.0,4.1 and up
CX_WiFiUFO,SPORTS,3.7,818,5.3M,"100,000+",Free,0.0,Everyone,Sports,2016-06-08 00:00:00,4.4_23,4.0 and up
CX watcher,FAMILY,4.5,4,30M,500+,Free,0.0,Everyone,Casual,2018-06-21 00:00:00,1.5_6,4.1 and up
Theme For Techno Camon CX,PERSONALIZATION,4.7,42,10M,"5,000+",Free,0.0,Everyone,Personalization,2017-05-10 00:00:00,1.0.,4.0 and up
CX-95WIFI,LIFESTYLE,,6,11M,500+,Free,0.0,Everyone,Lifestyle,2017-06-02 00:00:00,2.1,4.0 and up
Theme for Tecno Camon CX / C8,LIFESTYLE,4.6,147,9.8M,"10,000+",Free,0.0,Everyone,Lifestyle,2017-05-02 00:00:00,1.0.1,4.0 and up
CX Carrier Lite,BUSINESS,,0,68M,10+,Free,0.0,Everyone,Business,2018-06-11 00:00:00,1,4.0 and up
Oración CX,LIFESTYLE,5.0,103,3.8M,"5,000+",Free,0.0,Everyone,Lifestyle,2017-09-12 00:00:00,5.1.10,4.1 and up
CX-40,FAMILY,3.0,2,33M,100+,Free,0.0,Everyone,Entertainment,2017-12-14 00:00:00,3,4.0 and up
Cx Wize,PRODUCTIVITY,,3,24M,100+,Free,0.0,Everyone,Productivity,2018-07-30 00:00:00,2.1.0,4.1 and up
Ring,COMMUNICATION,3.9,517,35M,"10,000+",Free,0.0,Everyone,Communication,2018-08-06 00:00:00,20180805,4.4 and up
Racing CX,GAME,,4,20M,500+,Free,0.0,Everyone,Racing,2017-06-06 00:00:00,1,2.2 and up
cx advance call blocker,PERSONALIZATION,5.0,3,3.4M,50+,Free,0.0,Everyone,Personalization,2018-04-09 00:00:00,1,4.0 and up
CX Ram Booster,TOOLS,3.9,12,2.5M,500+,Free,0.0,Everyone,Tools,2017-06-02 00:00:00,1,2.2 and up
CX-42,FAMILY,,0,32M,10+,Free,0.0,Everyone,Casual,2018-01-02 00:00:00,1.2_3,4.2 and up
CX Capture,BUSINESS,,1,5.8M,100+,Free,0.0,Everyone,Business,2018-01-23 00:00:00,v1.2.2,4.0.3 and up
CONNECT: The Mobile CX Summit,PRODUCTIVITY,,0,18M,50+,Free,0.0,Teen,Productivity,2018-08-01 00:00:00,7.18.0.0,5.0 and up
Hyundai CX Conference,COMMUNICATION,,0,20M,50+,Free,0.0,Everyone,Communication,2018-05-27 00:00:00,2.10.2,4.2 and up
CX-41,LIFESTYLE,,1,32M,100+,Free,0.0,Everyone,Lifestyle,2017-12-14 00:00:00,3,4.1 and up
CX Monthly Tech News,VIDEO_PLAYERS,,2,6.9M,500+,Free,0.0,Everyone,Video Players & Editors,2016-06-09 00:00:00,6.1.0,4.0 and up
CXmodel-ufo,FAMILY,3.8,19,12M,"1,000+",Free,0.0,Everyone,Entertainment,2017-01-19 00:00:00,2.1,2.2 and up
CX Summit,PRODUCTIVITY,,1,17M,50+,Free,0.0,Teen,Productivity,2017-09-20 00:00:00,7.12.0.1,4.2 and up
Secret Codes For Android,TOOLS,3.6,6060,592k,"500,000+",Free,0.0,Everyone,Tools,2016-02-04 00:00:00,2,2.1 and up
Absolute RC Heli Simulator,SPORTS,3.9,654,50M,"10,000+",Paid,4.99,Everyone,Sports,2017-12-20 00:00:00,3.29,4.1 and up
WiFi FPV,FAMILY,3.8,316,19M,"100,000+",Free,0.0,Everyone,Entertainment,2017-06-01 00:00:00,1.8,2.2 and up
CX Elevated,BUSINESS,,0,55M,50+,Free,0.0,Everyone,Business,2018-02-01 00:00:00,1,4.1 and up
go41cx,FAMILY,4.8,171,1.0M,"1,000+",Paid,10.0,Everyone,Education,2016-10-18 00:00:00,1.7.0,2.2 and up
FlexRelease CX,BUSINESS,,4,2.0M,"1,000+",Free,0.0,Everyone,Business,2016-07-25 00:00:00,1.5.0,2.3.3 and up
Ambient CX,BUSINESS,,0,7.5M,5+,Free,0.0,Everyone,Business,2017-05-09 00:00:00,1,2.3.3 and up
QuestionPro - CX,BUSINESS,,1,16M,50+,Free,0.0,Everyone,Business,2018-08-03 00:00:00,1.3,4.1 and up
CX Network,BUSINESS,,0,10M,0+,Free,0.0,Everyone,Business,2018-08-06 00:00:00,1.3.1,4.1 and up
"Cymera Camera- Photo Editor, Filter,Collage,Layout",PHOTOGRAPHY,4.4,2418165,Varies with device,"100,000,000+",Free,0.0,Everyone,Photography,2018-07-12 00:00:00,Varies with device,Varies with device
CY Security Antivirus Cleaner,PRODUCTIVITY,4.5,75140,Varies with device,"1,000,000+",Free,0.0,Everyone,Productivity,2018-01-02 00:00:00,Varies with device,Varies with device
Freecell CY,GAME,4.0,387,1.1M,"50,000+",Free,0.0,Everyone,Card,2011-04-16 00:00:00,1.3.3,1.6 and up
Cytus II,GAME,4.7,16851,81M,"100,000+",Paid,1.99,Everyone 10+,Music,2018-08-03 00:00:00,1.5.0,4.4 and up
Cy-Reader,FAMILY,4.8,17,15M,100+,Free,0.0,Everyone,Education,2018-08-03 00:00:00,1.7,4.2 and up
Cy-Fair FCU Mobile Banking,FINANCE,4.7,439,13M,"5,000+",Free,0.0,Everyone,Finance,2018-01-30 00:00:00,5.7.1.0,5.0 and up
Cytus,GAME,4.7,541732,20M,"5,000,000+",Free,0.0,Everyone,Music,2018-02-09 00:00:00,10.0.10,2.3 and up
Cy-Ranch,NEWS_AND_MAGAZINES,4.5,27,7.1M,500+,Free,0.0,Everyone,News & Magazines,2018-05-06 00:00:00,7.5.0,4.1 and up
Recycling Cy,LIFESTYLE,4.0,47,4.5M,"1,000+",Free,0.0,Everyone,Lifestyle,2017-08-02 00:00:00,2,3.2 and up
CY Konum,PERSONALIZATION,,1,1.3M,100+,Free,0.0,Everyone,Personalization,2018-06-27 00:00:00,3,5.1 and up
CY.SEND Online Top Up,FINANCE,3.2,191,10M,"10,000+",Free,0.0,Everyone,Finance,2018-01-25 00:00:00,4.5.6,4.0 and up
ABTO CY-ET1,TOOLS,,1,29M,100+,Free,0.0,Everyone,Tools,2017-02-06 00:00:00,2.0.0.0,4.0 and up
CY:ME - real time gps tracker,MAPS_AND_NAVIGATION,,8,749k,"1,000+",Free,0.0,Everyone,Maps & Navigation,2013-09-28 00:00:00,1.08,2.2 and up
Alpha Bank CY,FINANCE,4.7,39,20M,"1,000+",Free,0.0,Everyone,Finance,2018-03-20 00:00:00,1.11,4.3 and up
Cy Messenger,COMMUNICATION,4.5,4,8.1M,100+,Free,0.0,Everyone,Communication,2014-08-30 00:00:00,1.3.0,2.3.3 and up
Amadeus GR & CY,COMMUNICATION,,4,3.8M,100+,Free,0.0,Everyone,Communication,2018-02-01 00:00:00,2.07,4.1 and up
Igitabo cy'Indirimbo,FAMILY,4.5,93,1.6M,"50,000+",Free,0.0,Everyone,Entertainment,2018-02-05 00:00:00,INDIRIMBO V.2014.002,1.6 and up
Doctor Finder CY,MEDICAL,4.9,57,6.1M,"1,000+",Free,0.0,Everyone,Medical,2015-11-11 00:00:00,1.7,3.0 and up
Eshopcy.com.cy,SHOPPING,4.2,182,4.9M,"5,000+",Free,0.0,Everyone,Shopping,2018-08-03 00:00:00,1.3,2.2 and up
NOMISMA.com.cy by FMW,NEWS_AND_MAGAZINES,5.0,3,Varies with device,100+,Free,0.0,Everyone,News & Magazines,2016-05-29 00:00:00,700,4.0 and up
Cy-Fair VFD EMS Protocols,MEDICAL,5.0,2,20M,100+,Free,0.0,Everyone 10+,Medical,2017-09-21 00:00:00,1.8.3,4.1 and up
EUROBANK CY,FINANCE,,30,15M,100+,Free,0.0,Everyone,Finance,2018-06-12 00:00:00,1.0.1,4.3 and up
Cy-Fair Christian Church,LIFESTYLE,5.0,2,9.3M,100+,Free,0.0,Everyone,Lifestyle,2017-08-03 00:00:00,24.8.1,4.1 and up
Mediabox CY,FAMILY,,0,12M,10+,Free,0.0,Everyone,Entertainment,2017-12-31 00:00:00,1,4.1 and up
Capitalnews.com.cy,NEWS_AND_MAGAZINES,,0,3.9M,10+,Free,0.0,Everyone,News & Magazines,2017-03-23 00:00:00,0.0.2,4.1 and up
Shadowverse CCG,GAME,4.2,47340,61M,"1,000,000+",Free,0.0,Teen,Card,2018-07-30 00:00:00,2.2.15,4.1 and up
CY Digital Net,SHOPPING,4.7,3,5.8M,500+,Free,0.0,Everyone,Shopping,2017-08-01 00:00:00,2.0.0,4.0 and up
Cy-Fair Houston Chamber,BUSINESS,,0,5.0M,5+,Free,0.0,Everyone,Business,2018-06-06 00:00:00,4.1.239,4.1 and up
StudentLife.com.cy,NEWS_AND_MAGAZINES,,17,4.4M,100+,Free,0.0,Everyone,News & Magazines,2017-03-14 00:00:00,1.0.11,4.1 and up
Phone Clean Best Speed Booster,PRODUCTIVITY,4.5,81502,Varies with device,"1,000,000+",Free,0.0,Everyone,Productivity,2018-03-29 00:00:00,Varies with device,Varies with device
VAT check CY,BUSINESS,,0,642k,100+,Free,0.0,Everyone,Business,2013-05-18 00:00:00,1.0.16,1.6 and up
Cy's Elma Pharmacy,HEALTH_AND_FITNESS,,0,9.4M,10+,Free,0.0,Everyone 10+,Health & Fitness,2018-06-28 00:00:00,7.4.8,4.0.3 and up
CY Spray nozzle,BOOKS_AND_REFERENCE,,0,3.3M,10+,Free,0.0,Everyone,Books & Reference,2017-08-03 00:00:00,1.01.00,4.0.3 and up
LOCX Applock Lock Apps & Photo,PRODUCTIVITY,4.5,208543,Varies with device,"10,000,000+",Free,0.0,Everyone,Productivity,2018-07-05 00:00:00,Varies with device,Varies with device
Cymath - Math Problem Solver,FAMILY,4.5,10159,6.4M,"1,000,000+",Free,0.0,Everyone,Education,2018-04-13 00:00:00,2.17,4.1 and up
Rewards,FINANCE,3.8,57,4.0M,"5,000+",Free,0.0,Everyone,Finance,2017-12-15 00:00:00,4.1,2.3 and up
Army of Heroes,FAMILY,4.5,85015,46M,"1,000,000+",Free,0.0,Everyone 10+,Strategy,2018-08-01 00:00:00,1.03.06,4.0 and up
BibleRead En Cy Zh Yue,BOOKS_AND_REFERENCE,,0,12M,5+,Free,0.0,Everyone,Books & Reference,2018-05-17 00:00:00,1,4.0 and up
Math Solver,FAMILY,4.3,2250,30M,"100,000+",Free,0.0,Everyone,Education,2017-11-21 00:00:00,1.2,4.1 and up
SuperBikers 2,GAME,3.9,6200,Varies with device,"500,000+",Free,0.0,Everyone 10+,Racing,2018-07-06 00:00:00,Varies with device,Varies with device
Cyprus Bus Companion,MAPS_AND_NAVIGATION,3.9,112,1.4M,"10,000+",Free,0.0,Everyone,Maps & Navigation,2013-12-26 00:00:00,1.3,2.2 and up
Cyprus Police,SOCIAL,4.2,226,15M,"10,000+",Free,0.0,Everyone 10+,Social,2018-01-31 00:00:00,1.122.250.1421,2.2 and up
foody Cyprus - online ordering,SHOPPING,4.5,214,1.8M,"10,000+",Free,0.0,Everyone,Shopping,2018-02-27 00:00:00,2.92,4.0.3 and up
Death Dragon Knights RPG,FAMILY,4.1,11179,19M,"1,000,000+",Free,0.0,Teen,Role Playing,2016-09-16 00:00:00,2.7,2.3 and up
Camera360 Lite - Selfie Camera,PHOTOGRAPHY,4.4,221878,Varies with device,"10,000,000+",Free,0.0,Everyone,Photography,2018-08-01 00:00:00,Varies with device,4.1 and up
Bank Of Cyprus,FINANCE,4.1,1514,12M,"100,000+",Free,0.0,Everyone,Finance,2018-02-14 00:00:00,1.1,4.1 and up
Map of Cyprus offline,TRAVEL_AND_LOCAL,4.6,470,21M,"10,000+",Free,0.0,Everyone,Travel & Local,2018-03-12 00:00:00,3.9,2.3 and up
McDelivery Cyprus,FOOD_AND_DRINK,3.3,60,25M,"10,000+",Free,0.0,Everyone,Food & Drink,2018-05-14 00:00:00,3.1.46 (CY02),4.3 and up
CZ-USA,LIFESTYLE,4.5,11,3.4M,"1,000+",Free,0.0,Everyone,Lifestyle,2016-03-01 00:00:00,1.0.2,4.0.3 and up
CZ File Manager,TOOLS,2.2,876,8.7M,"1,000,000+",Free,0.0,Everyone,Tools,2018-08-06 00:00:00,3.2.3,4.2 and up
Security Camera CZ,HOUSE_AND_HOME,4.4,137,19M,"10,000+",Free,0.0,Everyone,House & Home,2018-07-17 00:00:00,1.1.10,4.1 and up
Šmelina .cz inzeráty inzerce,SHOPPING,3.9,117,9.8M,"10,000+",Free,0.0,Everyone,Shopping,2018-05-13 00:00:00,1.3,4.0 and up
Alzashop.com,SHOPPING,4.5,32014,18M,"500,000+",Free,0.0,Everyone,Shopping,2018-08-03 00:00:00,Varies with device,Varies with device
KFC CZ,LIFESTYLE,2.8,1189,18M,"100,000+",Free,0.0,Everyone,Lifestyle,2018-06-27 00:00:00,5.1.0,4.0.3 and up
Skylink Live TV CZ,FAMILY,3.3,2802,15M,"100,000+",Free,0.0,Teen,Entertainment,2018-07-11 00:00:00,5,4.3 and up
CZ-70 (CZ-50) pistol explained,BOOKS_AND_REFERENCE,,2,17M,10+,Paid,5.99,Everyone,Books & Reference,2016-11-02 00:00:00,Android 2.1 - 2015,1.6 and up
Mapy.cz - Cycling & Hiking offline maps,MAPS_AND_NAVIGATION,4.5,56409,43M,"1,000,000+",Free,0.0,Everyone,Maps & Navigation,2018-06-26 00:00:00,6.2.0,4.1 and up
CZ-52 pistol explained,BOOKS_AND_REFERENCE,,0,9.3M,10+,Paid,5.99,Everyone,Books & Reference,2015-09-03 00:00:00,Android 3.0 - 2015,1.6 and up
CZ-27 pistol explained,BOOKS_AND_REFERENCE,,1,11M,10+,Paid,5.99,Everyone,Books & Reference,2015-09-02 00:00:00,Android 3.0 - 2015,1.6 and up
Online TV CZ/SK PRO,VIDEO_PLAYERS,3.1,167,2.0M,"1,000+",Paid,0.99,Everyone,Video Players & Editors,2018-06-21 00:00:00,3.3.2,4.0.3 and up
Rande.cz,SOCIAL,3.2,398,2.2M,"50,000+",Free,0.0,Mature 17+,Social,2014-12-03 00:00:00,1.0.1,2.3.3 and up
Breweries (CZ/SK),LIFESTYLE,4.4,1740,4.4M,"50,000+",Free,0.0,Teen,Lifestyle,2017-07-27 00:00:00,3.1.0,4.1 and up
reality.cz,HOUSE_AND_HOME,4.1,1372,5.4M,"50,000+",Free,0.0,Everyone,House & Home,2018-02-15 00:00:00,2.9.0,4.1 and up
CZ-45 pistol explained,BOOKS_AND_REFERENCE,,1,12M,10+,Paid,5.49,Everyone,Books & Reference,2017-08-10 00:00:00,Android 3.1 - 2015,1.6 and up
CZ-Help,BOOKS_AND_REFERENCE,5.0,2,1.4M,5+,Free,0.0,Everyone,Books & Reference,2018-07-13 00:00:00,0.1,4.4 and up
Hlášenírozhlasu.cz,COMMUNICATION,,0,17M,10+,Free,0.0,Everyone,Communication,2018-07-27 00:00:00,2.1.3,4.1 and up
signály.cz,SOCIAL,,38,881k,"1,000+",Free,0.0,Everyone,Social,2013-05-09 00:00:00,1.1,2.2 and up
CZ-Cyberon Voice Commander,TOOLS,3.8,131,3.3M,"1,000+",Paid,5.99,Everyone,Tools,2017-03-07 00:00:00,3.2.17030601,2.2 and up
Pistolet CZ-70 CZ-50 expliqué,BOOKS_AND_REFERENCE,,0,17M,1+,Paid,5.99,Everyone,Books & Reference,2016-11-01 00:00:00,Android 2.0 - 2016,1.6 and up
CZ-38 (vz 38) pistol explained,BOOKS_AND_REFERENCE,,0,13M,5+,Paid,5.99,Everyone,Books & Reference,2017-08-10 00:00:00,Android 3.1 - 2017,1.6 and up
HTC Sense Input - CZ,TOOLS,4.3,87,7.3M,"10,000+",Free,0.0,Everyone,Tools,2015-11-09 00:00:00,1.0.612933,5.0 and up
WebCams,WEATHER,4.6,3963,23M,"100,000+",Free,0.0,Everyone,Weather,2018-07-17 00:00:00,5.2.11,4.2 and up
Wallpapers CZ 75 85,PERSONALIZATION,,0,12M,10+,Free,0.0,Teen,Personalization,2018-04-12 00:00:00,1,4.1 and up
SMS Sender - sluzba.cz,COMMUNICATION,,12,72k,"1,000+",Free,0.0,Everyone,Communication,2012-06-01 00:00:00,2.00.00,2.0 and up
Novinky.cz,NEWS_AND_MAGAZINES,3.7,2375,Varies with device,"100,000+",Free,0.0,Everyone,News & Magazines,2017-02-23 00:00:00,Varies with device,Varies with device
Wallpaper.cz,PHOTOGRAPHY,4.9,7,2.2M,100+,Free,0.0,Everyone,Photography,2015-07-11 00:00:00,1.2.0,3.0 and up
Strava.cz,SHOPPING,4.3,2221,Varies with device,"100,000+",Free,0.0,Everyone,Shopping,2018-07-10 00:00:00,Varies with device,Varies with device
CZ Kompas,TOOLS,5.0,2,3.5M,10+,Free,0.0,Everyone,Tools,2018-07-09 00:00:00,1.1,4.0 and up
Modlitební knížka CZ,BOOKS_AND_REFERENCE,,4,18M,500+,Free,0.0,Everyone,Books & Reference,2018-02-04 00:00:00,4,4.0.3 and up
Reksio cz. 1,BOOKS_AND_REFERENCE,,0,8.6M,10+,Paid,0.99,Everyone,Books & Reference,2015-03-30 00:00:00,1.0.1,4.0.3 and up
MYTO CZ,MAPS_AND_NAVIGATION,2.9,30,4.8M,"5,000+",Free,0.0,Everyone,Maps & Navigation,2016-02-17 00:00:00,1.2,4.1 and up
PLAYzone.cz,FAMILY,4.4,14,7.3M,500+,Free,0.0,Everyone,Entertainment,2017-11-07 00:00:00,2.1.3,4.1 and up
Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753,13M,"100,000+",Paid,3.49,Everyone,Health & Fitness,2018-07-26 00:00:00,3.7.3,4.3 and up
RoutePlan.cz,PRODUCTIVITY,,6,5.3M,100+,Free,0.0,Everyone,Productivity,2018-06-06 00:00:00,2.5.4,4.0.3 and up
TeeTime.cz,SPORTS,4.6,1641,6.2M,"10,000+",Free,0.0,Everyone,Sports,2018-08-02 00:00:00,1.18.34,4.0 and up
What is my IP address,TOOLS,4.5,4228,656k,"500,000+",Free,0.0,Everyone,Tools,2018-07-02 00:00:00,2.95,4.0 and up
Windguru Lite,WEATHER,4.0,9307,5.0M,"1,000,000+",Free,0.0,Everyone,Weather,2018-01-09 00:00:00,2.0.8,4.4 and up
Vira.cz Widget,LIFESTYLE,,86,601k,"1,000+",Free,0.0,Everyone,Lifestyle,2016-06-15 00:00:00,1,2.2 and up
Da Fit,SPORTS,3.5,1151,8.3M,"10,000+",Free,0.0,Everyone,Sports,2018-07-23 00:00:00,v1.0.0-195-gb96d9f2,4.4 and up
The House of Da Vinci,FAMILY,4.8,12400,Varies with device,"100,000+",Paid,4.99,Everyone,Puzzle,2018-06-14 00:00:00,1.0.4,4.1 and up
Dan the Man: Action Platformer,GAME,4.8,528550,73M,"10,000,000+",Free,0.0,Teen,Arcade,2018-07-26 00:00:00,1.2.6,4.1 and up
Ghost Detector,FAMILY,3.5,35337,7.4M,"5,000,000+",Free,0.0,Teen,Entertainment,2018-05-25 00:00:00,1.7.28,4.0 and up
"Face Filter, Selfie Editor - Sweet Camera",PHOTOGRAPHY,4.7,142758,22M,"10,000,000+",Free,0.0,Everyone,Photography,2018-07-06 00:00:00,1.5.1,4.4 and up
Master for Minecraft(Pocket Edition)-Mod Launcher,TOOLS,4.6,2674051,26M,"50,000,000+",Free,0.0,Everyone,Tools,2018-08-06 00:00:00,2.1.69,4.0.3 and up
King of Math,FAMILY,4.4,766,14M,"10,000+",Paid,2.99,Everyone,Education;Education,2018-05-22 00:00:00,1.0.11,2.2 and up
Translate: text & voice translator,TOOLS,4.3,122010,7.3M,"5,000,000+",Free,0.0,Everyone,Tools,2018-07-14 00:00:00,Translator 10.9.2,4.0.3 and up
The Zueira's Voice,TOOLS,4.7,136540,3.1M,"1,000,000+",Free,0.0,Everyone,Tools,2018-07-10 00:00:00,4.75,4.0.3 and up
Battery Calibration,TOOLS,4.4,134412,11M,"5,000,000+",Free,0.0,Everyone,Tools,2018-07-27 00:00:00,3.0.5,4.4 and up
FVD - Free Video Downloader,TOOLS,4.0,327914,Varies with device,"10,000,000+",Free,0.0,Everyone,Tools,2018-04-11 00:00:00,Varies with device,Varies with device
Thuglife Video Maker,FAMILY,3.5,38824,12M,"1,000,000+",Free,0.0,Mature 17+,Entertainment,2018-01-21 00:00:00,2.4.1,5.0 and up
MadLipz,FAMILY,4.6,171017,13M,"10,000,000+",Free,0.0,Teen,Entertainment,2018-07-22 00:00:00,2.2.2,4.4 and up
Soccer FC,SPORTS,3.9,6289,33M,"1,000,000+",Free,0.0,Everyone,Sports,2016-07-21 00:00:00,1.2,2.3 and up
Visage Lab – face retouch,PHOTOGRAPHY,3.5,49523,Varies with device,"5,000,000+",Free,0.0,Everyone,Photography,2016-10-05 00:00:00,Varies with device,Varies with device
Geometry Dash SubZero,GAME,4.6,260527,49M,"10,000,000+",Free,0.0,Everyone,Arcade,2017-12-21 00:00:00,1,4.0 and up
Escaping the Prison,FAMILY,4.2,419375,31M,"10,000,000+",Free,0.0,Everyone 10+,Casual,2016-06-21 00:00:00,1.2.2,2.3 and up
Metal Soldiers 2,GAME,4.4,153649,Varies with device,"10,000,000+",Free,0.0,Teen,Action,2018-06-18 00:00:00,1.11.2,4.1 and up
Quiz TRUE or FALSE,GAME,4.6,2464,34M,"50,000+",Free,0.0,Everyone,Trivia,2018-02-13 00:00:00,1.1,4.1 and up
Glam Doll Salon - Chic Fashion,FAMILY,4.0,93898,44M,"10,000,000+",Free,0.0,Everyone,Casual,2017-05-26 00:00:00,1.1,4.1 and up
Siren Ringtones,PERSONALIZATION,4.2,42190,11M,"5,000,000+",Free,0.0,Teen,Personalization,2018-07-08 00:00:00,Varies with device,Varies with device
Peppa Pig: Party Time,FAMILY,3.8,52,55M,"10,000+",Paid,2.99,Everyone,Educational;Pretend Play,2017-08-08 00:00:00,1.2.1,2.3 and up
Download Manager for Android,TOOLS,4.1,420518,Varies with device,"10,000,000+",Free,0.0,Everyone,Tools,2018-07-04 00:00:00,Varies with device,Varies with device
COOKING MAMA Let's Cook!,FAMILY,4.3,528917,59M,"10,000,000+",Free,0.0,Everyone,Educational;Pretend Play,2018-07-26 00:00:00,1.38.0,4.1 and up
Run Sausage Run!,GAME,4.4,276105,Varies with device,"10,000,000+",Free,0.0,Everyone 10+,Arcade,2018-08-01 00:00:00,Varies with device,4.1 and up
Knife Hit,GAME,4.5,462614,60M,"10,000,000+",Free,0.0,Everyone,Arcade,2018-05-22 00:00:00,1.7.2,4.0.3 and up
The Visitor,GAME,4.1,39895,25M,"5,000,000+",Free,0.0,Mature 17+,Adventure,2018-01-02 00:00:00,1.2.3,4.1 and up
Just Dance Now,GAME,4.2,794058,56M,"10,000,000+",Free,0.0,Everyone,Music,2018-06-12 00:00:00,2.3.0,4.4 and up
DB Navigator,MAPS_AND_NAVIGATION,4.0,119685,20M,"10,000,000+",Free,0.0,Everyone,Maps & Navigation,2018-07-02 00:00:00,18.06.p03.02,4.0.3 and up
SQLite DB Reader,TOOLS,3.6,301,2.3M,"50,000+",Free,0.0,Everyone,Tools,2017-11-28 00:00:00,1.2.9,4.0 and up
DB Browser,TOOLS,3.3,236,221k,"50,000+",Free,0.0,Everyone,Tools,2011-09-20 00:00:00,1.6,2.1 and up
Sound Meter,TOOLS,4.7,88993,1.5M,"10,000,000+",Free,0.0,Everyone,Tools,2018-06-10 00:00:00,3.2.6,2.3 and up
DRAGON BALL LEGENDS,GAME,4.6,338742,48M,"5,000,000+",Free,0.0,Teen,Action,2018-08-03 00:00:00,1.11.0,6.0 and up
